fnr;orgId
08055101141;974574861
08055101575;974574861
17086800233;974574861
13086800882;974600951
13086800882;974574861
30055302320;811289612
30055302320;974600951
12086802269;974600951
12086802269;982708672
20026901015;974600951
20026901015;982708672
17086800667;974291339
13086801242;974291339
14086800498;982708672
14086801281;982708672
15086800850;982708672
14086802075;982708672
18055401922;995816598
18055401922;974574861
13086800297;995816598
15086801059;974739410
19026900878;974739410
16086802477;982708672
17086800071;974739410
17086800071;811289612
10054900355;943184097
10054900355;974574861
20065901138;975275914
29066002185;982708672
12086801475;974739410
12086801475;982708672
13086800459;943184097
13086800459;982708672
13086800610;982708672
01012400140;910089358
14023500591;910033255
19044501964;910127128
14086802237;810514442
15086800427;910532308
15086800699;910532251
20026900817;974739410
15086801210;918818707
15086801482;972176494
15086801482;980001830
15086801644;813654482
15086801644;911752190
15086802438;971663464
15086802438;995816598
16086800032;980516865
16086800032;971988819
16086800628;995154943
16086801098;982708672
16086801098;974739410
16086801411;974739410
16086801411;974600951
16086801683;974600951
16086801683;974739410
16086801845;995816598
16086801845;974600951
16086802043;943184097
16086802043;974739410
17086800829;943184097
17026901421;982708672
17026901693;974739410
17026902215;910521616
17026902487;910521616
18026900243;943184097
18026900677;910532235
18026901622;974739410
18026901894;910532235
18026902092;995816598
19026900010;982708672
19026901661;974600951
19026901661;989138510
19026901661;992009489
19026901823;995816598
19026902021;943184097
20026900221;982708672
20026901287;995816598
20026902070;910067494
20026902232;910067494
21026900422;910067494
21026900694;910067494
21026901488;910067494
21026902433;992009489
22026900038;992009489
22026900038;955622200
22026900623;982708672
22026901255;989138510
20076601284;989138510
20076602078;989138510
20076602078;983975259
21076600853;984874073
21076601051;984874073
21076601213;915894259
20026901287;811288942
19026900010;811289922
21026900694;811290882
21026900422;811290882
21076601213;811291722
21076601485;811291722
22076600469;811292702
20026902232;811293512
20026902070;811293512
22076600035;811294322
20026900221;811295302
19026902021;811295302
21026901488;811296112
19044501964;811297232
21076602430;910107410
22026900895;910107410
22026901093;910107410
18026901622;910107410
21076602430;910108611
22026900895;910108611
22026901093;910108611
18026901622;910108611
21026902271;910128450
22026900461;910128450
21076600691;910532235
21076600268;91053223
